id,question,expected_classification,actual_classification,ideal_answer_info,actual_answer,latency_seconds,notes
1,Is Cedars-Sinai Medical Center private or public?,sql,sql,Private, Cedars-Sinai Medical Center is a private hospital.,15.609924793243408,Specific institution info.
2,List all doctors who specialize in Pediatrics.,sql,sql,"Should list names like Sarah Smith, John Miller, John Davis, James Williams, Sophia Johnson, Emily Jones, Robert Miller."," Here are some pediatric specialists that I found: Sarah Smith at Mayo Clinic, John Miller at UCLA Medical Center, John Davis at Mount Sinai Hospital, James Williams at Stanford Health Care, and Sophia Johnson also at UCLA Medical Center. There are several others as well, including Emily Jones, Olivia Garcia, and Robert Miller. I hope this helps you in your search!",11.31863808631897,Simple filtering.
3,What are the common symptoms of a stroke?,rag,rag,"Numbness (face/arm/leg), confusion, trouble speaking/seeing, dizziness, severe headache."," The common symptoms of a stroke often include sudden numbness or weakness on one side of the body, confusion, trouble speaking or understanding speech, difficulty seeing, and problems with balance or coordination. A severe headache without a known cause can also be a symptom. If you suspect someone is having a stroke, it's crucial to call 911 immediately as quick treatment can significantly improve outcomes.",14.9739089012146,General medical info.
4,What is the address of Mayo Clinic?,sql,sql,"200 1st St SW, Rochester, MN"," The Mayo Clinic's address is 200 1st Street SW, Rochester, Minnesota.",8.979305028915405,Specific institution info.
5,Who developed you?,general,general,Should state it doesn't know or give a generic answer about its developers., I was created by Mistral AI.,5.714718818664551,About the bot itself.
6,How is type 2 diabetes typically managed?,rag,general,"Diet, exercise, medication (Metformin etc.), blood sugar monitoring."," Type 2 diabetes is typically managed through a combination of lifestyle changes and medication. Lifestyle modifications often include maintaining a healthy diet, regular exercise, and maintaining a healthy weight. This can help manage blood sugar levels effectively. Medications such as metformin, sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists, SGLT2 inhibitors, and insulin may also be prescribed to help control blood sugar levels. Regular monitoring of blood glucose levels is essential for effective management. It's always best to consult with a healthcare professional for personalized advice on managing type 2 diabetes.",9.982710599899292,General medical info.
7,How many doctors specialize in Dermatology?,sql,sql,"Should return the count (e.g., 8 based on the list).", There are 14 doctors who specialize in Dermatology.,10.955527782440186,Tests COUNT aggregation.
8,Which doctor specializes in Surgery and is interested in Pregnancy?,sql,sql,Sophia Johnson," I'm sorry, but it seems there was an issue with my query to find a doctor who specializes in Surgery and has an interest in Pregnancy. The database returned an error. Let me try to rephrase the query and see if that helps. If you have any other questions or need assistance with something else, feel free to ask!",18.281193017959595,Setup for context (Original ID: 20a).
9,Where does she work?,sql,sql,Requires finding Sophia Johnson's institution (conceptual join needed). Answer depends on DB schema link.," I'm sorry, but it seems there was an issue with my query. The database didn't return any information about where the doctor works. Let me double-check and see if I can find the answer for you! If you have any other questions or need assistance with something else, feel free to ask!",14.194386959075928,Tests context (pronoun) (Original ID: 20b).
10,What is the current time in Belgrade?,general,general,Should state it cannot access real-time data like time/weather.," The current time in Belgrade, Serbia, is 19:30.",9.835587978363037,Out of domain (real-time).
11,What causes cataracts?,rag,rag,"Aging, UV exposure, diabetes, smoking, eye injuries, certain medications (steroids)."," Cataracts can be caused by a variety of factors, such as aging, genetics, injury, disease, or prolonged use of certain medications. Some risk factors include being older, having a family history of cataracts, experiencing an eye injury, having certain diseases like diabetes, taking long-term corticosteroids, and excessive exposure to ultraviolet light. If you have any concerns about your eyesight, it's always best to consult with an eye care professional for personalized advice.",23.617109060287476,General medical info.
12,Hi MediBot!,general,sql,A simple greeting response.," Hello! I'm sorry, but it seems there was no information found about a doctor who specializes in Surgery and has an interest in Pregnancy. Let me double-check and see if I can find more details for you. If you have any other questions or need assistance with something else, feel free to ask!",17.475921154022217,Greeting.
13,Who is the best cardiologist?,general,sql,Should state it cannot give medical advice or opinions on 'best' doctors.," Here are some highly-rated cardiologists that I found: David Martinez, David Jones, James Martinez, Emma Jones, Michael Williams, Michael Jones, and Olivia Smith. Each of these professionals has a strong reputation in their field, so you may want to consider scheduling an appointment with one of them for your cardiac care needs.",17.72749376296997,Subjective/Opinion-based.
14,Tell me about Dr. Emily Williams in Neurology.,sql,sql,"Should mention specialization (Neurology), field of interest (Diabetes). Institution info might be missing/joined."," Dr. Emily Williams is a neurologist who works at NewYork-Presbyterian Hospital. She has extensive experience in her field and may be able to help you with various neurological conditions, including stroke, epilepsy, multiple sclerosis, and migraines. If you are looking for a neurologist, Dr. Emily Williams could be an excellent choice.",19.783455848693848,Specific entity lookup.
15,Tell me about appendicitis.,rag,rag,"Inflammation of appendix, symptoms (pain LRQ, nausea, fever), treatment (surgery)."," Appendicitis is a serious condition that occurs when there's a blockage inside your appendix, leading to inflammation and pain. The main symptom is usually sudden and worsening abdominal pain, often on the right side, accompanied by other symptoms like swelling, loss of appetite, nausea, constipation or diarrhea, inability to pass gas, and low fever. If you suspect appendicitis, it's crucial to seek medical attention immediately as complications can arise if left untreated.",35.55264472961426,Setup for context (Original ID: 21a).
16,Is it considered a medical emergency?,rag,sql,"Yes, usually requires prompt medical attention/surgery to avoid rupture."," I'm sorry, but it seems there was no information found about whether appendicitis is considered a medical emergency. However, given that appendicitis can be a serious condition and complications can arise if left untreated, it's essential to seek immediate medical attention if you suspect appendicitis. If you have any other questions or need assistance with something else, feel free to ask!",20.974372148513794,Tests context (pronoun 'it') (Original ID: 21b).
17,Find surgeons interested in Hypertension.,sql,sql,Should list James Garcia.," I found a surgeon who has an interest in Hypertension. His name is James Garcia, and he works at Massachusetts General Hospital. If you're looking for a surgeon to help manage your hypertension, James Garcia could be an excellent choice. You can find him at 55 Fruit St, Boston, MA.",21.134688138961792,Filtering two columns.
